iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TD	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	50	20	10	0.5	48	6712	0.7688	0.6782	-5.0512	0.4642	-0.0979
0	50	20	10	0.7	55	6630	0.7309	0.6912	-5.6663	0.4238	-0.1234
0	50	20	15	0.3	46	6601	0.8174	0.6882	-4.67	0.5517	-0.0388
0	50	20	15	0.5	47	6515	0.7915	0.685	error	error	error
0	50	20	15	0.7	28	5742	0.8179	0.6947	-4.1799	0.4356	-0.0938
0	50	20	20	0.3	32	6515	0.8188	0.6806	-4.1377	0.5978	0.0028
0	50	20	20	0.5	29	6361	0.8448	0.6992	-4.9301	0.5096	-0.064
0	50	20	20	0.7	35	6880	0.7457	0.6794	-4.5302	0.4548	-0.0678
0	50	20	25	0.3	31	6951	0.7968	0.6785	-4.2103	0.5879	0.0063
0	50	20	25	0.5	30	6539	0.83	0.6925	-4.3335	0.5444	-0.0372
0	50	20	25	0.7	24	5781	0.7792	0.6893	-4.0562	0.459	-0.0595

0	10	5	12	0.3	100	4139	0.61	0.6788	error	error	error
0	10	5	14	0.3	88	3912	0.6432	0.684	error	error	error
0	10	5	22	0.3	56	4433	0.6875	0.6827	-4.38	0.5791	-0.0277
0	10	5	24	0.3	58	4475	0.6707	0.679	-4.3982	0.5795	-0.0152

0	10	5	12	0.3	104	4378	0.5817	0.6896	error	error	error
0	10	5	21	0.3	61	4557	0.6639	0.6844	-4.4502	0.5674	-0.0282
0	10	5	12	0.3	106	4556	0.6179	0.6859	error	error	error
0	10	5	24	0.3	50	4641	0.72	0.6858	-4.6927	0.5434	-0.044
0	10	5	13	0.3	97	4565	0.6289	0.6928	error	error	error
0	10	5	24	0.3	53	4606	0.7094	0.6854	-4.2312	0.5695	-0.0209
0	10	5	13	0.3	92	4475	0.6315	0.6844	error	error	error
0	10	5	24	0.3	55	4376	0.6927	0.6886	-4.2757	0.574	-0.0156
0	10	5	13	0.3	99	4558	0.6263	0.6859	-5.201	0.5302	-0.0502
0	10	5	24	0.3	51	4481	0.6882	0.6822	-4.2893	0.5864	-0.0104
0	10	5	12	0.3	110	4424	0.6009	0.6877	error	error	error
0	10	5	25	0.3	49	4311	0.7286	0.6901	-4.2894	0.594	-0.0219
0	10	5	12	0.3	101	4337	0.6139	0.6877	error	error	error
0	10	5	25	0.3	3	21	0.8667	0.7886	-5.0079	0.3815	-0.1251
0	10	5	12	0.3	100	4100	0.6	0.6882	error	error	error
0	10	5	25	0.3	52	4489	0.7269	0.6811	-4.1416	0.5957	-0.0128
0	10	5	12	0.3	111	4766	0.6054	0.6884	error	error	error
0	10	5	25	0.3	47	4240	0.7447	0.6827	-4.3097	0.568	-0.0149
