iteration	n_neighbors	n_components	min_cluster_size	diversity	num_topics	num_outliers	TU	Inverted_RBO	TC_umass	TC_cv	TC_cnpmi
0	30	5	8	0.1	98	1461	0.8337	0.6818	error	error	error
0	30	10	8	0.1	91	1560	0.8341	0.6901	error	error	error
0	30	15	8	0.1	95	1545	0.8579	0.6852	error	error	error
0	30	20	8	0.1	97	1558	0.8351	0.6861	error	error	error
0	35	5	8	0.1	83	1628	0.8446	0.6919	error	error	error
0	35	10	8	0.1	87	1493	0.8644	0.6909	error	error	error
0	35	15	8	0.1	86	1594	0.85	0.691	error	error	error
0	35	20	8	0.1	93	1614	0.8613	0.6863	error	error	error
0	35	15	5	0.1	101	1668	0.8079	0.6897	error	error	error
0	35	15	5	0.3	108	1703	0.8287	0.6918	error	error	error
0	35	15	5	0.5	100	1751	0.862	0.6963	error	error	error
0	35	15	6	0.1	101	1742	0.8178	0.6868	error	error	error
0	35	15	6	0.3	98	1778	0.8398	0.6947	error	error	error
0	35	15	6	0.5	95	1680	0.8705	0.6821	error	error	error
0	35	15	7	0.1	94	1667	0.8532	0.6889	error	error	error
0	35	15	7	0.3	90	1690	0.8689	0.6958	error	error	error
0	35	15	7	0.5	93	1661	0.8559	0.6962	error	error	error
0	35	15	8	0.1	93	1721	0.8387	0.6888	error	error	error
0	35	15	8	0.3	90	1610	0.8656	0.6864	error	error	error
0	35	15	8	0.5	90	1629	0.8767	0.6907	error	error	error
0	35	15	9	0.1	77	1652	0.8792	0.6956	error	error	error
0	35	15	9	0.3	81	1587	0.8802	0.6985	error	error	error
0	35	15	9	0.5	84	1644	0.8667	0.6982	error	error	error

0	20	10	5	0.1	196	1032	0.6663	0.6926	error	error	error
0	20	10	5	0.3	201	991	0.7184	0.6883	error	error	error
0	20	10	5	0.5	212	1081	0.7071	error	error	error	error
0	20	15	5	0.1	206	1067	0.6583	0.6926	error	error	error
0	20	15	5	0.3	197	1004	0.7025	0.6865	error	error	error
0	20	15	5	0.5	206	1147	0.6966	error	error	error	error
0	20	20	5	0.1	205	1125	0.6722	error	error	error	error
0	20	20	5	0.3	204	1137	0.6966	0.6897	error	error	error
0	20	10	8	0.1	97	1493	0.867	0.6857	error	error	error
0	20	10	8	0.3	98	1523	0.8643	0.6971	error	error	error
0	20	10	8	0.5	98	1497	0.8755	0.6849	error	error	error
0	20	10	9	0.1	87	1566	0.8724	0.6858	error	error	error
0	20	10	8	0.1	155	829	0.7819	error	error	error	error
0	20	10	8	0.3	135	895	0.8207	0.6923	error	error	error
0	20	10	8	0.5	137	920	0.8606	0.6865	error	error	error
0	20	10	9	0.1	136	841	0.8228	0.6884	error	error	error
0	20	10	9	0.3	129	992	0.8326	0.6937	error	error	error
0	20	10	9	0.5	133	869	0.8617	0.6901	error	error	error
0	20	10	10	0.1	90	1472	0.8933	0.6903	error	error	error
0	20	10	10	0.3	86	1487	0.893	0.6873	error	error	error
0	20	10	10	0.5	89	1521	0.8966	0.6921	error	error	error
0	20	15	8	0.1	141	928	0.8028	0.6903	error	error	error
0	20	15	8	0.3	145	970	0.8055	0.6888	error	error	error
0	20	15	8	0.5	151	1139	0.8364	0.6926	error	error	error
0	20	15	9	0.1	137	856	0.819	0.6882	error	error	error
0	20	15	9	0.3	132	1081	0.8144	0.6888	error	error	error
0	20	15	9	0.5	129	1126	0.8581	error	error	error	error
0	20	15	10	0.1	87	1512	0.8598	0.6841	error	error	error
0	20	15	10	0.3	90	1468	0.8756	0.6887	error	error	error
0	20	15	10	0.5	87	1440	0.8793	error	error	error	error
0	20	20	8	0.1	137	1020	0.7876	0.6944	error	error	error
0	20	20	8	0.3	143	1071	0.8301	0.6855	-17.3915	0.3783	-0.282
0	20	20	8	0.5	143	1036	0.8371	0.6878	error	error	error
0	20	20	9	0.1	135	945	0.8259	0.6905	error	error	error
0	20	20	9	0.3	142	1038	0.8261	0.688	error	error	error
0	20	20	9	0.5	136	1226	0.8456	0.6892	error	error	error
0	20	20	10	0.1	93	1470	0.8645	0.6873	error	error	error
0	20	20	10	0.3	90	1559	0.8922	0.6914	error	error	error
0	20	20	10	0.5	86	1561	0.8779	error	error	error	error
0	20	25	8	0.1	142	998	0.7951	0.6911	error	error	error
0	20	25	8	0.3	141	1152	0.8163	0.686	error	error	error
0	20	25	8	0.5	131	1027	0.8618	0.6848	error	error	error
0	20	25	9	0.1	125	1009	0.8208	error	error	error	error
0	20	25	9	0.3	140	993	0.8007	0.6922	error	error	error
0	20	25	9	0.5	138	1135	0.8399	error	error	error	error
0	20	25	10	0.1	91	1619	0.867	0.683	error	error	error
0	20	25	10	0.3	90	1524	0.9078	0.6899	error	error	error
0	20	25	10	0.5	89	1650	0.9045	error	error	error	error
0	25	10	8	0.1	131	1031	0.8015	0.689	error	error	error
0	25	10	8	0.3	137	1020	0.8197	0.6919	error	error	error
0	25	10	8	0.5	130	1012	0.8462	0.6911	error	error	error
0	25	10	9	0.1	124	1104	0.8218	0.6911	error	error	error
0	25	10	9	0.3	127	921	0.8394	0.6923	error	error	error
0	25	10	9	0.5	130	1126	0.8577	0.6874	error	error	error
0	25	10	10	0.1	82	1479	0.8756	0.6878	error	error	error
0	25	10	10	0.3	85	1595	0.8847	0.6852	error	error	error
0	25	10	10	0.5	80	1552	0.915	0.6926	error	error	error
0	25	15	8	0.1	136	1037	0.8206	0.6849	error	error	error
0	25	15	8	0.3	141	1164	0.7851	0.6918	error	error	error
0	25	15	8	0.5	133	1003	0.8519	0.6901	error	error	error
0	25	15	9	0.1	123	1030	0.835	0.6895	error	error	error
0	25	15	9	0.3	121	994	0.8545	0.6942	error	error	error
0	25	15	9	0.5	123	1245	0.8902	0.6906	error	error	error
0	25	15	10	0.1	80	1570	0.8888	0.689	error	error	error
0	25	15	10	0.3	83	1692	0.8964	0.692	error	error	error
0	25	15	10	0.5	78	1525	0.9205	0.6941	error	error	error
0	25	20	8	0.1	141	1149	0.7858	0.6894	-17.084	0.3651	-0.2777
0	25	20	8	0.3	133	1041	0.8361	0.6916	error	error	error
0	25	20	8	0.5	128	1148	0.8445	0.6951	error	error	error
0	25	20	9	0.1	126	1099	0.8262	0.6938	error	error	error
0	25	20	9	0.3	131	1182	0.8107	0.6869	error	error	error
0	25	20	9	0.5	120	1106	0.875	0.6858	error	error	error
0	25	20	10	0.1	78	1652	0.8923	0.6882	error	error	error
0	25	20	10	0.3	80	1649	0.8988	0.6919	error	error	error
0	25	20	10	0.5	81	1612	0.9086	0.6935	error	error	error
0	25	25	8	0.1	133	1145	0.7947	0.6873	error	error	error
0	25	25	8	0.3	132	962	0.8402	0.686	-17.2818	0.3798	-0.2799
0	25	25	8	0.5	139	1154	0.8259	0.6807	error	error	error
0	25	25	9	0.1	120	941	0.82	0.6924	error	error	error
0	25	25	9	0.3	121	1036	0.8529	0.6906	error	error	error
0	25	25	9	0.5	129	943	0.8481	0.6853	error	error	error
0	25	25	10	0.1	79	1585	0.8949	0.6851	error	error	error
0	25	25	10	0.3	78	1618	0.9218	0.6852	error	error	error
0	25	25	10	0.5	84	1773	0.8988	0.6933	error	error	error
0	30	10	8	0.1	137	1237	0.7708	0.6876	error	error	error
0	30	10	8	0.3	129	918	0.8155	0.6825	error	error	error
0	30	10	8	0.5	125	1031	0.8408	0.6838	error	error	error
0	30	10	9	0.1	126	921	0.8222	0.6852	error	error	error
0	30	10	9	0.3	118	1090	0.8415	0.6874	-17.4218	0.3766	-0.2863
0	30	10	9	0.5	118	1119	0.8797	0.6933	error	error	error
0	30	10	10	0.1	74	1488	0.8946	0.6877	error	error	error
0	30	10	10	0.3	74	1536	0.9216	0.6887	error	error	error
0	30	10	10	0.5	75	1556	0.9107	0.6856	error	error	error
0	30	15	8	0.1	127	1147	0.8276	0.6904	error	error	error
0	30	15	8	0.3	130	1121	0.8192	0.6919	error	error	error
0	30	15	8	0.5	134	1151	0.8358	0.6899	error	error	error
0	30	15	9	0.1	119	914	0.8227	0.6945	error	error	error
0	30	15	9	0.3	121	1046	0.838	0.691	error	error	error
0	30	15	9	0.5	118	1161	0.8669	0.6897	error	error	error
0	30	15	10	0.1	74	1743	0.9027	0.6846	error	error	error
0	30	15	10	0.3	72	1629	0.9194	0.6889	error	error	error
0	30	15	10	0.5	76	1662	0.9026	0.6932	error	error	error
0	30	20	8	0.1	128	952	0.7992	0.6902	error	error	error
0	30	20	8	0.3	119	1056	0.8412	0.6914	error	error	error
0	30	20	8	0.5	129	1089	0.862	0.689	error	error	error
0	30	20	9	0.1	114	1099	0.843	0.6842	error	error	error
0	30	20	9	0.3	119	1309	0.8445	0.6853	error	error	error
0	30	20	9	0.5	116	1006	0.8647	0.6802	error	error	error
0	30	20	10	0.1	72	1515	0.8847	0.6905	-17.7971	0.4098	-0.3081
0	30	20	10	0.3	77	1580	0.9026	0.6872	-17.3475	0.3867	-0.2815
0	30	20	10	0.5	74	1698	0.9189	0.6818	-18.0424	0.4158	-0.3082
0	30	25	8	0.1	126	1081	0.7984	0.687	error	error	error
0	30	25	8	0.3	134	1183	0.806	0.6913	error	error	error
0	30	25	8	0.5	130	1255	0.8485	0.6988	error	error	error
0	30	25	9	0.1	121	1130	0.8107	0.6869	error	error	error
0	30	25	9	0.3	129	1119	0.8256	0.6802	error	error	error
0	30	25	9	0.5	120	1290	0.8592	0.6921	error	error	error
0	30	25	10	0.1	72	1685	0.9	0.6923	-17.6055	0.4009	-0.2982
0	30	25	10	0.3	73	1638	0.9055	0.6899	error	error	error
0	30	25	10	0.5	79	1648	0.8975	0.6854	error	error	error
0	35	10	8	0.1	124	1141	0.8153	0.6883	error	error	error
0	35	10	8	0.3	116	1130	0.8216	error	error	error	error
0	35	10	8	0.5	118	1128	0.8593	0.6935	error	error	error
0	35	10	9	0.1	120	1049	0.7925	0.6921	error	error	error
0	35	10	9	0.3	114	1108	0.8386	0.6912	error	error	error
0	35	10	9	0.5	113	1253	0.8575	0.6969	error	error	error
0	35	10	10	0.1	72	1628	0.8944	0.6858	error	error	error
0	35	10	10	0.3	74	1725	0.8703	0.6894	error	error	error
0	35	10	10	0.5	69	1511	0.929	0.6897	error	error	error
0	35	15	8	0.1	121	1226	0.8025	0.6897	error	error	error
0	35	15	8	0.3	118	1176	0.8297	0.6884	error	error	error
0	35	15	8	0.5	118	1254	0.8331	0.6921	error	error	error
0	35	15	9	0.1	114	1118	0.8167	0.6883	error	error	error
0	35	15	9	0.3	119	1081	0.805	0.6886	error	error	error
0	35	15	9	0.5	167	849	0.7856	error	error	error	error
0	35	15	10	0.1	74	1563	0.9027	0.6898	error	error	error
0	35	15	10	0.3	74	1759	0.9054	0.6903	error	error	error
0	35	15	10	0.5	72	1667	0.9153	0.6966	-18.0294	0.4179	-0.3094
0	35	20	8	0.1	120	1139	0.8025	0.6887	-17.4528	0.3739	-0.2932
0	35	20	8	0.3	113	1064	0.823	0.7015	error	error	error
0	35	20	8	0.5	116	1128	0.8569	0.6968	error	error	error
0	35	20	9	0.1	109	1128	0.8541	0.6952	error	error	error
0	35	20	9	0.3	110	1234	0.8482	0.6844	error	error	error
0	35	20	9	0.5	107	987	0.8738	0.6961	error	error	error
0	35	20	10	0.1	72	1715	0.8903	0.6905	error	error	error
0	35	20	10	0.3	74	1732	0.9135	0.69	error	error	error
0	35	20	10	0.5	72	1787	0.9292	0.6909	-17.8909	0.4066	-0.3081
0	35	25	8	0.1	119	1133	0.8319	0.6939	error	error	error
0	35	25	8	0.3	121	1274	0.8025	0.6834	error	error	error
0	35	25	8	0.5	124	1211	0.8411	0.6889	error	error	error
0	35	25	9	0.1	114	1255	0.8237	0.687	error	error	error
0	35	25	9	0.3	110	1093	0.8455	0.6821	-17.4779	0.3831	-0.2866
0	35	25	9	0.5	109	1245	0.878	0.6949	-17.7527	0.3991	-0.2984
0	35	25	10	0.1	72	1813	0.8889	0.6898	-17.3412	0.3876	-0.2891
0	35	25	10	0.3	72	1745	0.8986	0.6849	error	error	error
0	35	25	10	0.5	73	1688	0.9123	0.6968	error	error	error



0	35	25	9	0.1	79	1566	0.8797	0.6864	error	error	error
0	35	25	9	0.3	81	1612	0.8889	0.6873	error	error	error
0	35	25	9	0.5	84	1691	0.8964	0.6947	error	error	error
